,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
ZBTUSDT,16.176558929248134,-0.8270584287162395,1.232508703673183,1839.5652293629594,492.0,18.47384596262498,-2.297287033376861,14.116991796858713,8125476.046875
NXPCUSDT,16.191812390767268,-1.60049762986774,0.3834867771474545,572.3683241006783,552.0,0.0,16.191812390767268,14.207827983752074,4621216.4765625
1000SHIBUSDT,31.168300622323386,5.7909706053409336,21.383375055518805,31915.485157490828,10824.0,193.402592873964,-162.2342922516402,15.575896172145512,157015217.0
QUSDT,15.942671480159325,0.04738168389971566,0.3198704497193614,477.41858167068864,84.0,-1.5429993329509004,17.485670813110236,15.670182714339678,3923820.97265625
CRCLUSDT,16.07046847974171,2.215030746408452,1.792591516144182,2675.5097255883306,612.0,-7.190266401927721,23.260734881669432,16.49290771000598,88705452.75
RONINUSDT,17.903061886235367,-0.1272967971441824,0.7212891608110549,1076.5509862851566,108.0,3.3579266068169087,14.545135279418453,17.05447592828013,4061825.03125
SLXUSDT,11.561201882643875,5.836576957827628,0.3218714692374314,480.4051779663156,132.0,11.561201882643875,0.0,17.07590737123407,16680857.46875
CATIUSDT,20.170338835034382,-0.4959756541381386,2.11451842289068,3155.997646105493,804.0,-3.7282270565880378,23.898565891622404,17.559844758005564,4749693.43359375
TUSDT,15.470340448966429,6.777083455871175,4.054066987606658,6050.846250159194,1140.0,2.2916551679221957,13.1786852810442,18.193356917230943,5627449.80859375
MOODENGUSDT,20.771998016727697,2.335685920022865,4.899291796293246,7312.375815363053,2496.0,-10.04374556635653,30.815743583084334,18.208392140457313,22814709.25
AIUSDT,20.669323865798738,0.23787112099706767,2.670166062669341,3985.322481596029,792.0,17.402611031919648,3.2667128338790548,18.237028924126463,13025081.96875
SUSDT,20.949241218228636,0.46049301615036714,3.12649797728548,4666.414891470867,1908.0,8.41255751145428,12.53668370677433,18.28323625709352,18643679.515625
FFUSDT,19.553299792221242,-0.14528151556215935,1.0973394378345345,1637.8200564694544,84.0,18.661529150281584,0.8917706419396579,18.310678838824547,7787240.02734375
HMSTRUSDT,20.97742994027817,-0.038591406011316075,2.281717598355071,3405.5486542613,408.0,12.119767365240424,8.857662575037743,18.657120935911784,6165872.4765625
